Recency,Frequency,Monetary,Cluster
325,2,2.08,2
1,182,481.21,0
74,31,178.71,0
18,73,605.1,0
309,17,65.3,2
35,95,2211.1,0
203,4,24.299999999999997,2
231,58,261.22,2
213,13,54.65,2
22,59,188.87,0
32,131,438.67,0
1,19,157.21,0
7,251,2210.06,0
51,129,457.90999999999997,0
286,10,33.35,2
2,274,1083.29,0
109,23,53.17,0
7,85,162.37,0
290,23,698.0,2
3,11,35.2,0
50,166,463.9,0
44,63,244.08,0
71,52,156.07,0
310,14,64.15,2
24,33,139.25,0
2,18,119.60000000000001,0
314,77,209.35,2
129,219,656.44,0
81,41,116.6,0
21,105,355.63,0
4,91,417.04,0
184,100,309.36,2
28,30,227.27,0
337,10,23.91,2
15,100,277.77,0
79,32,127.9,0
21,93,224.76,0
71,64,145.9,0
63,27,91.00999999999999,0
15,159,629.59,0
35,126,437.0,0
45,85,169.38,0
118,59,124.75999999999999,0
302,5,48.4,2
322,11,36.2,2
49,6,53.400000000000006,0
148,54,191.39000000000001,2
21,108,305.99,0
49,77,251.59,0
32,113,353.48,0
78,114,402.04,0
300,28,176.97,2
74,61,165.54,0
66,40,210.29,0
216,18,154.26,2
23,778,2499.82,0
2,198,1074.23,0
112,34,121.19,0
63,29,136.51,0
15,46,204.18,0
95,39,127.15,0
0,126,365.05,0
162,30,83.42,2
77,36,92.32,0
194,30,118.09,2
11,35,161.17,0
25,300,1418.79,0
8,97,352.18,0
42,11,68.48,0
35,239,895.25,0
42,108,1139.49,0
0,420,920.95,0
84,54,198.13,0
79,36,197.25,0
99,16,84.28,0
1,201,809.45,0
13,98,381.7,0
366,11,40.71,2
2,12,40.08,0
20,177,1119.1299999999999,0
21,4,31.95,0
57,58,248.1,0
242,26,92.93,2
43,22,130.94,0
21,191,705.69,0
155,8,12.94,2
10,355,868.18,0
16,23,99.67,0
133,43,102.91,0
52,30,218.46,0
72,90,285.6,0
43,129,461.37,0
57,68,352.37,0
70,38,164.4,0
93,35,149.06,0
1,72,332.42,0
45,88,269.91,0
9,29,343.15,0
7,51,138.02,0
142,40,139.07,2
1,530,2263.92,0
30,391,970.12,0
28,178,2437.42,0
16,455,1324.5,0
53,36,105.88,0
0,264,1306.93,0
22,308,1333.8700000000001,0
3,36,163.36,0
3,35,91.42999999999999,0
27,154,482.7,0
22,217,739.79,0
16,81,484.21000000000004,0
32,347,1104.63,0
9,55,205.41,0
335,15,88.62,2
4,245,659.75,0
38,26,87.8,0
62,20,66.95,0
165,23,111.75,2
9,84,351.94,0
81,14,28.84,0
20,23,96.55,0
22,65,381.95,0
314,160,387.32,2
95,147,944.51,0
337,1,1126.0,2
17,15,141.7,0
300,1,4.5,2
232,23,73.5,2
133,23,106.37,0
25,68,118.32000000000001,0
283,7,38.95,2
142,33,140.69,2
65,31,81.85,0
84,36,80.57,0
266,51,168.14,2
352,16,108.5,2
77,26,70.87,0
27,281,663.29,0
0,124,351.81,0
63,17,52.59,0
78,155,526.09,0
142,38,113.84,2
38,12,60.010000000000005,0
1,110,567.36,0
8,144,420.06,0
0,71,238.12,0
81,18,52.730000000000004,0
8,95,512.34,0
59,68,264.47,0
14,17,64.76,0
29,16,59.17,0
130,63,191.23,0
91,34,151.35,0
7,273,13255.220000000001,0
28,21,76.51,0
21,274,2856.04,0
19,481,1875.34,0
29,52,188.02,0
29,20,82.27000000000001,0
74,50,201.19,0
46,70,222.0,0
197,8,63.6,2
165,5,33.6,2
78,57,176.15,0
357,10,16.8,2
38,20,182.31,0
7,196,617.78,0
49,119,319.64,0
15,33,71.83,0
1,22,27.5,0
310,22,87.28,2
4,111,315.8,0
302,16,47.43,2
7,168,535.62,0
260,21,117.1,2
281,10,24.11,2
72,20,79.12,0
22,463,1557.35,0
1,191,1061.65,0
39,34,44.9,0
8,62,269.37,0
226,28,58.7,2
315,11,57.2,2
35,89,214.55,0
34,147,263.87,0
20,120,373.0,0
72,31,116.77,0
246,24,62.58,2
39,15,43.39,0
238,22,115.1,2
2,251,791.28,0
3,126,938.1,0
233,97,339.25,2
16,12,54.6,0
7,4,46.24,0
38,10,95.8,0
28,35,157.6,0
189,70,718.6600000000001,2
316,26,98.3,2
91,18,59.599999999999994,0
108,21,55.7,0
37,119,374.73,0
50,27,118.95,0
18,214,852.51,0
9,133,376.07,0
28,62,185.77,0
28,65,368.32,0
189,29,189.81,2
58,12,23.65,0
21,3,28.95,0
78,16,41.46,0
364,3,5.4,2
57,202,435.86,0
77,60,211.07,0
22,111,545.77,0
51,65,173.88,0
57,21,94.24000000000001,0
30,163,477.71,0
277,20,112.2,2
1,105,324.41,0
84,36,145.95,0
28,41,79.08,0
21,11,73.02000000000001,0
15,95,1030.57,0
14,92,197.6,0
1,474,1373.65,0
231,11,63.13,2
275,18,47.32,2
105,38,147.14,0
211,91,210.64,2
22,307,872.0,0
10,230,675.72,0
3,43,158.14,0
9,64,287.13,0
56,31,140.65,0
58,103,327.28000000000003,0
89,101,254.73,0
66,386,1041.19,0
32,39,99.84,0
238,22,108.19999999999999,2
23,53,303.0,0
